index,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,y
2026,13000,78766.0,106450.0,HomeImp,ProfExe,6.0,0.0,0.0,107.95131167,0.0,26.0,24.870993882,0
1278,10300,74624.0,96697.0,DebtCon,Office,7.0,0.0,0.0,217.23532123,3.0,28.0,41.511300788,0
3995,20900,55000.0,79900.0,HomeImp,Other,2.5,0.0,0.0,45.631135531,1.0,14.0,,1
2119,13300,44509.0,72292.0,HomeImp,ProfExe,3.0,0.0,0.0,208.92069357,3.0,17.0,37.055724552,0
4743,25000,42632.0,71000.0,DebtCon,Other,24.0,,1.0,284.93333333,1.0,30.0,,0
4444,23100,75837.0,183443.0,,Other,9.0,0.0,0.0,377.29103995,0.0,17.0,31.435316117,0
1692,11900,61094.0,74842.0,,Other,12.0,0.0,0.0,250.19983439,0.0,26.0,29.734874071,0
3534,18600,119741.0,212530.0,DebtCon,Other,4.0,1.0,0.0,202.28857763,0.0,17.0,27.07376116,0
4182,21800,82817.0,114732.0,DebtCon,Other,,0.0,0.0,190.0874448,1.0,24.0,40.748211757,0
1972,12800,42801.0,51123.0,HomeImp,Other,23.0,0.0,1.0,127.83966204,0.0,22.0,39.389594605,0
37,2900,61962.0,70915.0,DebtCon,Mgr,2.0,0.0,0.0,282.80165924,3.0,37.0,49.20639579,1
5581,36500,141200.0,195729.0,DebtCon,ProfExe,23.0,0.0,0.0,182.72889478,0.0,22.0,37.405509575,0
2434,14600,67997.0,87000.0,DebtCon,Other,11.0,1.0,,93.333333333,3.0,23.0,,1
2503,14900,44588.0,72331.0,DebtCon,ProfExe,6.0,0.0,0.0,156.33174453,2.0,11.0,28.164440536,0
2259,13800,75142.0,95667.0,DebtCon,Mgr,19.0,0.0,0.0,230.45755435,10.0,24.0,33.383314175,0
5083,27100,118200.0,159739.0,DebtCon,ProfExe,6.0,0.0,1.0,117.15216054,3.0,27.0,34.206008445,0
1402,10800,80203.0,98731.0,DebtCon,Other,4.0,0.0,0.0,113.42514573,2.0,31.0,41.474073805,0
2412,14500,49348.0,68000.0,DebtCon,Office,0.2,0.0,0.0,178.6,0.0,25.0,,0
3208,17200,11950.0,170000.0,HomeImp,Mgr,22.0,0.0,0.0,77.283384968,1.0,20.0,28.82169866,0
3868,20200,59347.0,97816.0,HomeImp,ProfExe,18.0,0.0,0.0,618.73589016,1.0,24.0,21.668642273,0
175,5000,,37500.0,HomeImp,Other,,0.0,3.0,107.13333333,10.0,5.0,,1
5665,40000,,850000.0,HomeImp,Other,17.0,0.0,0.0,186.66666667,1.0,24.0,,1
1189,10000,65000.0,80000.0,DebtCon,Other,2.0,0.0,0.0,26.366666667,3.0,2.0,,1
4711,24900,62191.0,83694.0,HomeImp,Other,3.0,0.0,0.0,55.937512295,0.0,14.0,62.110721871,1
5070,27000,54834.0,85391.0,DebtCon,Other,9.0,0.0,1.0,132.57854459,2.0,30.0,39.305739117,0
826,8600,57727.0,70828.0,HomeImp,Other,5.0,0.0,0.0,87.845310974,3.0,19.0,41.75352499,0
4752,25000,,,DebtCon,Other,22.0,0.0,2.0,203.2,0.0,23.0,,1
1883,12500,53060.0,67500.0,DebtCon,Office,16.0,0.0,5.0,183.63333333,0.0,15.0,,1
733,8200,135929.0,200275.0,DebtCon,ProfExe,0.0,0.0,0.0,69.617174882,1.0,23.0,37.805432649,0
4779,25000,39000.0,72500.0,DebtCon,Other,3.0,0.0,1.0,114.66666667,3.0,22.0,,1
4474,23300,91957.0,135827.0,DebtCon,ProfExe,,0.0,1.0,203.07168751,0.0,20.0,27.833356125,0
4931,26000,222681.0,286283.0,HomeImp,ProfExe,6.0,,4.0,485.94535834,,55.0,33.239355484,0
3159,17000,55820.0,88683.0,DebtCon,Office,0.5,0.0,0.0,74.033333333,0.0,23.0,,0
